Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
9540c5b36b1780b2c7825a28b8ef0c2aa8f095c0,sell_stoploss: rework.,['f497f00326d7be21981a41542106ac2ace70f1dc'],N,['NostalgiaForInfinityNextGen.py']
66380b1e6ba84b5ec6050daf32907d9092062e76,sell_stoploss: rework.,['c5622302ed68ecc4426ae436dcbc9dab303640aa'],N,['NostalgiaForInfinityNextGen.py']
fd70e00055a75b99492ac32f2f62f3d423a4577a,sell_stoploss: rework.,['021e93274f4c26681b1c20f773742652b6170faa'],N,['NostalgiaForInfinityNext.py']
ec1ff68dc03383c792ee9733929200a3f046998c,sell_stoploss: rework.,['fd70e00055a75b99492ac32f2f62f3d423a4577a'],N,['NostalgiaForInfinityNextGen.py']
d9d407a31eb5e0f8e6849a57e1dbacc0d78a7758,"fix buy_tag issue  were some errors reported, reverting this piece of code.",['69aa5654a4803142f9e06172a188906a999ee12e'],N,['NostalgiaForInfinityNext.py']
fb9e69116e2641b15b6fbffc2a0f22c51704597f,merge branch 'billgatesiii-patch-1',"['69aa5654a4803142f9e06172a188906a999ee12e', 'd9d407a31eb5e0f8e6849a57e1dbacc0d78a7758']",Y,[]
d4b968bf40667e7d8dce6b1c4da6779d4812a511,sell_stoploss: rework.,['8db7acc6dbdeb46cc4eada490777030077dc76ee'],N,['NostalgiaForInfinityNextGen.py']
284c9639376035bbe1ed986e4e976530af932f88,sell_stoploss: rework.,['d4b968bf40667e7d8dce6b1c4da6779d4812a511'],N,['NostalgiaForInfinityNext.py']
363a05ec26ff2a7fd7f4d2cf22b8d8a9648a0214,sell_stoploss: rework.,['284c9639376035bbe1ed986e4e976530af932f88'],N,['NostalgiaForInfinityNextGen.py']
80f3f26907fa7d30a9d2a8fee3e46055e9337d86,sell_stoploss: rework.,['99372a8afb6c6b6c936f2668bf445941257292e2'],N,['NostalgiaForInfinityNext.py']
bddc80e35b8c31d4a63a42bcf75e0d51acffa4b0,sell_stoploss: rework.,['7a74ec8f7666abcb1a816941c4e92cc29343e7a4'],N,['NostalgiaForInfinityNext.py']
6bb23bdbf28e76adf619c040d0f4c2fe4a74a7ab,fix minor typo.,['87dc79c932d384f85c35de30cece33316b7e10fd'],N,['NostalgiaForInfinityNextGen.py']
c648b7a53cdaf7941b53789695fac27d86d6b752,sell_stoploss: rework.,['67c52cd892b71b3869dcd5dbd5f757530a293a74'],N,['NostalgiaForInfinityX.py']
805cff230ecee8cc3527c3f031a3626333d904c2,sell_stoploss: rework.,['2f9f6190db04feaf110788ec97ad4cc0537daff1'],N,['NostalgiaForInfinityX.py']
03b900e3bea41358def2b6a6aba7d583c62ea326,sell_pump_stoploss: stoploss for pumped pairs.,['805cff230ecee8cc3527c3f031a3626333d904c2'],N,['NostalgiaForInfinityX.py']
18338609bf1e8dd4397f0e8be15c3573b4803113,move tests to nfix,['3d5c05fa4333d204afb7d0225a5c511439976fd3'],N,"['docker-compose.yml', 'tests\\backtests\\helpers.py']"
78215a5389a2c4d173deec767876f18a57b2a88c,also copy nfix to strat dir.,['18338609bf1e8dd4397f0e8be15c3573b4803113'],N,['tests\\unit\\conftest.py']
54504d408e42d7d6669c49a36f8de7a5d9dade30,fix naming for x.,['34919a2dc9892b61c6a1a1d6591813ee06f0a46e'],N,['tests\\backtests\\helpers.py']
b75f12df2adcc18c9163c9d498c889e479959841,fix test deviations.,['54504d408e42d7d6669c49a36f8de7a5d9dade30'],N,['tests\\backtests\\test_winrate_and_drawdown.py']
c4693155f0e21246d890b29f72f92df4067c6aa0,removed debug df dump,['b75f12df2adcc18c9163c9d498c889e479959841'],N,"['NostalgiaForInfinityNext.py', 'NostalgiaForInfinityNextGen.py', 'NostalgiaForInfinityX.py']"
192ac07d118b9516c9d9a3d4aeef557b00235325,sell_stoploss: rework.,['5c9a4a726032ef56d6e4866f6b509432293f1aac'],N,['NostalgiaForInfinityX.py']
a9f26d270816a666a7004f1ee28ec268c48a4e16,merge pull request #138 from frysee/patch-1  added lazio fan token to blacklist,"['42afb52a9fc6de98da01141d23eb0fe300498103', 'b9016d352acc48ddec4621d60904d643cdfd8500']",Y,[]
572a6f15f08f3706cda6715bba6852ce4394ca9e,sell_stoploss: rework.,['b6703200bb16383ebda7477ec89e5a0b481ebb95'],N,['NostalgiaForInfinityX.py']
5535bfe1dc98f8540b483679069e7cc22efa9688,sell_stoploss: rework.,['572a6f15f08f3706cda6715bba6852ce4394ca9e'],N,['NostalgiaForInfinityX.py']
14343abcae877f601ecd168e054e916af323e741,"manually import dataprovider  needed to run the analyze_ticker() function in the notebook https://www.freqtrade.io/en/latest/strategy_analysis_example/#load-and-run-strategy    ```# load strategy using values set above  from freqtrade.resolvers import strategyresolver  strategy = strategyresolver.load_strategy(config)    # generate buy/sell signals using strategy  df = strategy.analyze_ticker(candles, {'pair': pair})  df.tail()```    otherwise, it generates the following error:    ```attributeerror                            traceback (most recent call last)  /tmp/ipykernel_63536/2170170204.py in <module>        4         5 # generate buy/sell signals using strategy  ----> 6 df = strategy.analyze_ticker(candles, {'pair': pair})        7 df.tail()    ~/adam/envs/py37/lib/python3.7/site-packages/freqtrade/strategy/interface.py in analyze_ticker(self, dataframe, metadata)      471         """"""      472         logger.debug(""ta analysis launched"")  --> 473         dataframe = self.advise_indicators(dataframe, metadata)      474         dataframe = self.advise_buy(dataframe, metadata)      475         dataframe = self.advise_sell(dataframe, metadata)    ~/adam/envs/py37/lib/python3.7/site-packages/freqtrade/strategy/interface.py in advise_indicators(self, dataframe, metadata)      843             return self.populate_indicators(dataframe)  # type: ignore      844         else:  --> 845             return self.populate_indicators(dataframe, metadata)      846       847     def advise_buy(self, dataframe: dataframe, metadata: dict) -> dataframe:    ~/personal/freqtrade/user_data/strategies/nostalgiaforinfinitynext.py in populate_indicators(self, dataframe, metadata)     4631      4632         if self.has_btc_info_tf:  -> 4633             btc_info_tf = self.dp.get_pair_dataframe(btc_info_pair, self.info_timeframe_1h)     4634             btc_info_tf = self.info_tf_btc_indicators(btc_info_tf, metadata)     4635             dataframe = merge_informative_pair(dataframe, btc_info_tf, self.timeframe, self.info_timeframe_1h, ffill=true)    attributeerror: 'nostalgiaforinfinitynext' object has no attribute 'dp'```",['fd1b351a14eb3992caf9232ffdecd7bd4b705769'],N,['NostalgiaForInfinityNext.py']
f6e5c0175be1136b033d2409dadb00a0a1eaae45,merge branch 'italodamato-patch-1',"['fc53f279fcf6dfaee568726783c22a5c66ab24fc', 'ac1da20583ff3d490a872589153ebc9e9405b77b']",Y,[]
3a0d1cd546c8d3c47a1dea4592869dba5e5ad653,sell_stoploss: rework.,['f6e5c0175be1136b033d2409dadb00a0a1eaae45'],N,['NostalgiaForInfinityX.py']
a22da8166173bdd51da4ecd713e74f8b1868e011,fine tune atr stoploss thresholds.,['740d8b943eb79a689dfb160ed86c5ca0138d0149'],N,['NostalgiaForInfinityX.py']
166dc99d7226b56b570c3f658572e72eb345309f,sell_stoploss: rework.,['a22da8166173bdd51da4ecd713e74f8b1868e011'],N,['NostalgiaForInfinityX.py']
50ae3a8d849068a9a0a50561c157e4a69e73169b,sell_stoploss: rework.,['80e6940b0f3df6b480945b08cb756208e6dcfe18'],N,['NostalgiaForInfinityX.py']
d5aa9927f02308c97746ebc012a51d1033123ccf,sell_stoploss: rework.,['50ae3a8d849068a9a0a50561c157e4a69e73169b'],N,['NostalgiaForInfinityX.py']
884a2bb467ff726f8f0542bb69bba3072b4c919a,fix dataprovider error.,['22d2569158f62efebdb133eee722571d99f825e4'],N,['NostalgiaForInfinityNext.py']
33cda737a06b694b63d07daee780863fb1739202,sell_stoploss: rework.,['fc4d5132e72f0dea2244a646396654e24ea1e013'],N,['NostalgiaForInfinityX.py']
eba2aa8ec8a203ffefdd1e7030c5d0208dcbe9f1,fix signal naming.,['f85b8740a68863a7009855d226462f5b6102dc49'],N,['NostalgiaForInfinityX.py']
5afb1f29770623c9c1dd749853fc19882d3b5f6b,sell_stoploss: rework.,['86f9f59ff87a87939a818579f120180a20f1ce89'],N,['NostalgiaForInfinityX.py']
1edb532e2639fbbe6e697250f58555f14be03518,sell_stoploss: code clean.,['98b555d5b9fc3b261a5cae3c782a2112cc2d79e1'],N,['NostalgiaForInfinityX.py']
376fbe42eeb905602d554d5a38d1da6e05626086,sell_stoploss: rework.,['520bb0e722b6f97ef379e1417017d2df552f27f1'],N,['NostalgiaForInfinityX.py']
635fa773f787548a64e0ee7de2cecc1e3719599f,sell_stoploss: rework.,['376fbe42eeb905602d554d5a38d1da6e05626086'],N,['NostalgiaForInfinityX.py']
8f4167d9447cb669a67595e65011e1de27b02a0c,fix typo. re-add september for kucoin,['e08ee44d000447af4cfc568e6feab989ca3c711e'],N,['.github\\workflows\\tests.yml']
ee7ed1a0435eb1ea422e0befa69f3ad36e4e32db,added discord link and minor info regarding difference in nfix nfi-ng nfinext,['5684e2c3e323b108e4d754b62ac2773b0b28c5c9'],N,['README.md']
46482ebd27bd7384fe1d4f6f632ab073840721ba,minor formatting changes in readme,['ee7ed1a0435eb1ea422e0befa69f3ad36e4e32db'],N,['README.md']
e86ec29284d59079e64b4f0681cdf87bf9d11ea9,sell_pump_stoploss: rework.,['a754ec3eaa112138a2782af1207fc6905cf5f455'],N,['NostalgiaForInfinityX.py']
e16b3d1262fe68c2e238c1d133e969750ea0e487,sell_pump_stoploss: rework.,['e0cc0ddd48f42077229bc9b8044817351b88fe08'],N,['NostalgiaForInfinityX.py']
d66d95b51fc30ef1abf435afe1dc88f5be736b18,sell_stoploss: rework.,['5b62a41c6b21c9ed366b900d92c1e37fa3c3c8bc'],N,['NostalgiaForInfinityX.py']
d2a41c78a6eb1c86549f7db1ab0a732df4c968e7,sell_stoploss: rework.,['d66d95b51fc30ef1abf435afe1dc88f5be736b18'],N,['NostalgiaForInfinityX.py']
0e7acdf4e63b7237dce99611c53d2e7a9eb1655f,sell_stoploss: rework.,['d2a41c78a6eb1c86549f7db1ab0a732df4c968e7'],N,['NostalgiaForInfinityX.py']
d5f0641ce661ed5c34cd95d81d4e86dd9c3050b7,merge branch 'yucertrade-patch-1',"['5981aabd1c4fd9fc700cf0c66464d9007549ab4a', 'd1f8d5789d2a2a472f2ac4153b204c3f6ded1ba4']",Y,[]
2c506419181282c874305215338233d1ecbfc431,sell_stoploss: rework.,['d5f0641ce661ed5c34cd95d81d4e86dd9c3050b7'],N,['NostalgiaForInfinityX.py']
4096ed8f1a1ad92967b888bfdf04763f3de7a499,sell_stoploss: rework.,['2c506419181282c874305215338233d1ecbfc431'],N,['NostalgiaForInfinityX.py']
aeb3ac9b62940311899a535bf1c2fbd3f356278b,sell_stoploss: rework.,['bc2e4977e7ef27ea47c1c1ec8254d28114d9c07e'],N,['NostalgiaForInfinityX.py']
75fb7b5fd8893212960a9f5834dd6d56e0fc6a00,fine tune stoploss thresholds.,['aeb3ac9b62940311899a535bf1c2fbd3f356278b'],N,['NostalgiaForInfinityX.py']
